condition,enable_pivot,solver,mode,target,run_index,solved,answer,best_word,best_rank,total_guesses,generations,trace_path,error,llm_provider,llm_model,alignment
pivot_off,False,llm,aligned,notorious,0,False,,brutal,8,781,50,traces\llm_aligned_notorious_run1_20260508_003623.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,herbaceous,0,True,herbaceous,herbaceous,1,656,31,traces\llm_aligned_herbaceous_run1_20260508_060851.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,superficial,0,True,superficial,superficial,1,363,14,traces\llm_aligned_superficial_run1_20260508_075715.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,notorious,1,False,,prison,7,713,50,traces\llm_aligned_notorious_run2_20260508_173939.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,herbaceous,1,False,,shrub,3,820,50,traces\llm_aligned_herbaceous_run2_20260509_041134.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,superficial,1,True,superficial,superficial,1,267,11,traces\llm_aligned_superficial_run2_20260509_053608.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,notorious,2,False,,rebel,74,837,50,traces\llm_aligned_notorious_run3_20260509_160914.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,herbaceous,2,True,herbaceous,herbaceous,1,633,34,traces\llm_aligned_herbaceous_run3_20260509_222029.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,superficial,2,False,,subtle,13,814,50,traces\llm_aligned_superficial_run3_20260510_074734.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,notorious,3,True,notorious,notorious,1,450,18,traces\llm_aligned_notorious_run4_20260510_104902.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,herbaceous,3,True,herbaceous,herbaceous,1,702,41,traces\llm_aligned_herbaceous_run4_20260510_171303.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,superficial,3,True,superficial,superficial,1,659,38,traces\llm_aligned_superficial_run4_20260511_005831.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,notorious,4,False,,reputation,62,768,50,traces\llm_aligned_notorious_run5_20260511_094215.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,herbaceous,4,True,herbaceous,herbaceous,1,850,49,traces/llm_aligned_herbaceous_run5_20260512_090822.json,,ollama,qwen3:14b,aligned
pivot_off,False,llm,aligned,superficial,4,True,superficial,superficial,1,612,29,traces/llm_aligned_superficial_run5_20260512_112510.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,notorious,0,False,,prison,7,857,50,traces/llm_aligned_notorious_run1_20260512_155952.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,herbaceous,0,True,herbaceous,herbaceous,1,242,8,traces/llm_aligned_herbaceous_run1_20260512_162351.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,superficial,0,True,superficial,superficial,1,271,10,traces/llm_aligned_superficial_run1_20260513_162414.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,notorious,1,False,,gang,4,873,50,traces/llm_aligned_notorious_run2_20260513_204557.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,herbaceous,1,True,herbaceous,herbaceous,1,269,9,traces/llm_aligned_herbaceous_run2_20260513_210816.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,superficial,1,True,superficial,superficial,1,337,12,traces/llm_aligned_superficial_run2_20260513_214844.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,notorious,2,True,notorious,notorious,1,657,37,traces/llm_aligned_notorious_run3_20260514_002424.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,herbaceous,2,True,herbaceous,herbaceous,1,180,6,traces/llm_aligned_herbaceous_run3_20260514_004010.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,superficial,2,True,superficial,superficial,1,199,7,traces/llm_aligned_superficial_run3_20260514_005650.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,notorious,3,False,,brutal,8,852,50,traces/llm_aligned_notorious_run4_20260515_153321.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,herbaceous,3,True,herbaceous,herbaceous,1,592,26,traces/llm_aligned_herbaceous_run4_20260515_172022.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,superficial,3,False,,temporal,9,880,50,traces/llm_aligned_superficial_run4_20260515_204803.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,notorious,4,False,,brutal,8,926,50,traces/llm_aligned_notorious_run5_20260519_151308.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,herbaceous,4,True,herbaceous,herbaceous,1,213,8,traces/llm_aligned_herbaceous_run5_20260519_153210.json,,ollama,qwen3:14b,aligned
pivot_on,True,llm,aligned,superficial,4,True,superficial,superficial,1,358,18,traces/llm_aligned_superficial_run5_20260519_170110.json,,ollama,qwen3:14b,aligned
