target,metric,pairs,off_median,off_iqr,on_median,on_iqr,median_difference_on_minus_off,wilcoxon_statistic,wilcoxon_p_value,cliffs_delta_on_vs_off
ALL,solved_total_guesses,6,582.0,296.0,269.0,104.0,-332.5,2.0,0.09375,-0.7222222222222222
ALL,best_rank,15,1.0,12.0,1.0,6.0,0.0,4.5,0.10705794596591928,-0.2222222222222222
ALL,generations,15,41.0,26.0,12.0,43.0,-19.0,14.0,0.04968433584548393,-0.4177777777777778
herbaceous,solved_total_guesses,3,633.0,171.0,280.0,181.0,-372.0,0.0,0.25,-1.0
herbaceous,best_rank,5,1.0,1.0,1.0,1.0,0.0,1.5,1.0,0.0
herbaceous,generations,5,34.0,18.0,9.0,26.5,-22.0,1.5,0.1875,-0.64
notorious,solved_total_guesses,0,,,,,,,,
notorious,best_rank,5,8.0,64.0,7.0,3.5,0.0,1.0,0.5,-0.4
notorious,generations,5,50.0,16.0,50.0,22.0,0.0,1.0,1.0,-0.04
superficial,solved_total_guesses,3,363.0,392.0,258.0,319.0,-31.0,2.0,0.75,-0.5555555555555556
superficial,best_rank,5,1.0,12.0,1.0,0.0,0.0,0.0,0.5,-0.4
superficial,generations,5,38.0,37.5,9.0,16.5,-23.0,2.0,0.1875,-0.68
